Id,Name,Phone,BillingCity,BillingState,OwnerId,CreatedDate
001gK00001Luv6zQAB,Oliver J. Murphy Residence,0410364274,Campbelltown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv3vQAB,Oliver Murphy Residence,(02) 4174 1186,Chatswood,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4sQAB,Olivia Campbell Residence,(02) 5885 3015,Hurstville,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv49QAB,Robert Chen Residence,(02) 4580 1620,Ryde,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4wQAB,Ruby Harris Residence,(02) 6001 3139,Liverpool,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6rQAB,Ryan J. Singh Residence,0410300922,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv55QAB,Ryan Singh Residence,(02) 6262 3418,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Jx11eQAB,Sample Account for Entitlements,,,,005gK00006sTIwDQAW,2026-08-11T16:21:37.000+0000
001gK00001Luv4VQAR,Samuel Fitzgerald Residence,(02) 5218 2302,Chatswood,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6vQAB,Samuel J. Fitzgerald Residence,0410332598,Chatswood,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv5iQAB,Sarah Barnes Residence,(02) 7393 4627,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4iQAB,Sienna Lewis Residence,(02) 5595 2705,Charlestown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv48QAB,Sophie Wilson Residence,(02) 4551 1589,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv3tQAB,Thomas Hughes Residence,(02) 4116 1124,Castle Hill,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6TQAR,William J. Kowalski Residence,0410110866,Maitland,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv43QAB,William Kowalski Residence,(02) 4406 1434,Maitland,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv40QAB,Zoe Foster Residence,(02) 4319 1341,Warners Bay,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
