Id,Name,Phone,BillingStreet,BillingCity,BillingState,BillingPostalCode,Service_Region__c,OwnerId,CreatedDate,LastModifiedDate,RecordState,MasterRecordId
001gK00001Luv5FQAR,Benjamin Walker Residence,(02) 6552 3728,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:39.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv5tQAB,Benjamin Walker Residence,(02) 7712 4968,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:47:18.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv6NQAR,Benjamin Walker Residence,0242321248,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T21:45:38.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv71QAB,Benjamin Walker Residence,0253922488,89 Mill Lane,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:40.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv7fQAB,Benjamin Walker Residence,0265523728,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:40.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv8JQAR,Benjamin Walker Residence,0242321248,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T21:45:38.000+0000,ABSORBED,001gK00001Luv3xQAB
001gK00001Luv3xQAB,Benjamin Walker Residence,(02) 4232 1248,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:40.000+0000,SURVIVOR,
001gK00001Luv6gQAB,CHARLOTTE KING RESIDENCE,,78 BEACH RD,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:36:24.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv7KQAR,CHARLOTTE KING RESIDENCE,,78 BEACH RD,Blacktown,New South Wales,2148,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv7yQAB,CHARLOTTE KING RESIDENCE,,78 BEACH RD,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv8cQAB,CHARLOTTE KING RESIDENCE,,78 BEACH RD,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:36:24.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv4uQAB,Charlotte King Residence,(02) 5943 3077,78 Beach Rd,Blacktown,New South Wales,2148,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv5YQAR,Charlotte King Residence,(02) 7103 4317,78 Beach Rd,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv6CQAR,Charlotte King Residence,(02) 8263 5557,78 Beach Rd,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:36:01.000+0000,ABSORBED,001gK00001Luv4GQAR
001gK00001Luv4GQAR,Charlotte King Residence,(02) 4783 1837,78 Beach Rd,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:58.000+0000,SURVIVOR,
001gK00001Luv76QAB,Chloe Robinson,(02) 5537 2643,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:38:20.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv7kQAB,Chloe Robinson,(02) 6697 3883,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:38:20.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv8OQAR,Chloe Robinson,(02) 4377 1403,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:38:47.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv6SQAR,Chloe Robinson,(02) 4377 1403,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:39:23.000+0000,SURVIVOR,
001gK00001Luv42QAB,Chloe Robinson Residence,(02) 4377 1403,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:38:47.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv4gQAB,Chloe Robinson Residence,(02) 5537 2643,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:39:08.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv5KQAR,Chloe Robinson Residence,(02) 6697 3883,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:39:08.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv5yQAB,Chloe Robinson Residence,(02) 7857 5123,144 Mill Lane,Cessnock,New South Wales,2325,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:39:22.000+0000,ABSORBED,001gK00001Luv6SQAR
001gK00001Luv4pQAB,Daniel Clark Residence,(02) 5798 2922,23 Beach Rd,Penrith,New South Wales,2750,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4BQAR
001gK00001Luv5TQAR,Daniel Clark Residence,(02) 6958 4162,23 Beach Rd,Chatswood,New South Wales,2067,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4BQAR
001gK00001Luv67QAB,Daniel Clark Residence,(02) 8118 5402,23 Beach Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:41:21.000+0000,ABSORBED,001gK00001Luv4BQAR
001gK00001Luv4BQAR,Daniel Clark Residence,(02) 4638 1682,23 Beach Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,SURVIVOR,
001gK00001Luv6bQAB,Daniel J. Clark Residence,0410174218,23 Beach Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:00.000+0000,ABSORBED,001gK00001Luv8XQAR
001gK00001Luv7FQAR,Daniel J. Clark Residence,0410490978,23 Beach Rd,Penrith,New South Wales,2750,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:00.000+0000,ABSORBED,001gK00001Luv8XQAR
001gK00001Luv7tQAB,Daniel J. Clark Residence,0410807738,23 Beach Rd,Chatswood,New South Wales,2067,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:01.000+0000,ABSORBED,001gK00001Luv8XQAR
001gK00001Luv8XQAR,Daniel J. Clark Residence,0411124498,23 Beach Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:01.000+0000,SURVIVOR,
001gK00001Luv4vQAB,David Doyle Residence,(02) 5972 3108,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv5ZQAR,David Doyle Residence,(02) 7132 4348,89 Mill Lane,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:47:27.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv6DQAR,David Doyle Residence,(02) 8292 5588,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T06:45:47.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv6hQAB,David Doyle Residence,0248121868,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:45:47.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv7LQAR,David Doyle Residence,0259723108,89 Mill Lane,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:58.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv7zQAB,David Doyle Residence,0271324348,89 Mill Lane,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:47:27.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv8dQAB,David Doyle Residence,0248121868,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T06:46:33.000+0000,ABSORBED,001gK00001Luv4HQAR
001gK00001Luv4HQAR,David Doyle Residence,(02) 4812 1868,89 Mill Lane,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:59.000+0000,SURVIVOR,
001gK00001Luv6cQAB,ELLA AHMED RESIDENCE,,34 MILL LANE,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv7GQAR,ELLA AHMED RESIDENCE,,34 MILL LANE,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv7uQAB,ELLA AHMED RESIDENCE,,34 MILL LANE,Blacktown,New South Wales,2148,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv8YQAR,ELLA AHMED RESIDENCE,,34 MILL LANE,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv6kQAB,EMMA JONES RESIDENCE,,122 RAILWAY PDE,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:01.000+0000,ABSORBED,001gK00001Luv4KQAR
001gK00001Luv7OQAR,EMMA JONES RESIDENCE,,122 RAILWAY PDE,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:01.000+0000,ABSORBED,001gK00001Luv4KQAR
001gK00001Luv82QAB,EMMA JONES RESIDENCE,,122 RAILWAY PDE,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:02.000+0000,ABSORBED,001gK00001Luv4KQAR
001gK00001Luv4qQAB,Ella Ahmed Residence,(02) 5827 2953,34 Mill Lane,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv5UQAR,Ella Ahmed Residence,(02) 6987 4193,34 Mill Lane,Blacktown,New South Wales,2148,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv68QAB,Ella Ahmed Residence,(02) 8147 5433,34 Mill Lane,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:50.000+0000,ABSORBED,001gK00001Luv4CQAR
001gK00001Luv4CQAR,Ella Ahmed Residence,(02) 4667 1713,34 Mill Lane,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:51.000+0000,SURVIVOR,
001gK00001Luv4yQAB,Emma Jones Residence,(02) 6059 3201,122 Railway Pde,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:01.000+0000,ABSORBED,001gK00001Luv4KQAR
001gK00001Luv5cQAB,Emma Jones Residence,(02) 7219 4441,122 Railway Pde,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:01.000+0000,ABSORBED,001gK00001Luv4KQAR
001gK00001Luv4KQAR,Emma Jones Residence,(02) 4899 1961,122 Railway Pde,Charlestown,New South Wales,2290,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:02.000+0000,SURVIVOR,
001gK00001Luv4DQAR,Ethan Lee Residence,(02) 4696 1744,45 Kurrajong Dr,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv5VQAR,Ethan Lee Residence,(02) 7016 4224,45 Kurrajong Dr,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv69QAB,Ethan Lee Residence,(02) 8176 5464,45 Kurrajong Dr,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv6dQAB,Ethan Lee Residence,0246961744,45 Kurrajong Dr,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:51.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv7HQAR,Ethan Lee Residence,0258562984,45 Kurrajong Dr,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:52.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv7vQAB,Ethan Lee Residence,0270164224,45 Kurrajong Dr,Ryde,New South Wales,2112,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:52.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv8ZQAR,Ethan Lee Residence,0246961744,45 Kurrajong Dr,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:30:52.000+0000,ABSORBED,001gK00001Luv4rQAB
001gK00001Luv4rQAB,Ethan Lee Residence,(02) 5856 2984,45 Kurrajong Dr,Castle Hill,New South Wales,2154,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:52.000+0000,SURVIVOR,
001gK00001Luv6oQAB,GRACE WHITFIELD RESIDENCE,,166 SUNSET RD,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:05.000+0000,ABSORBED,001gK00001Luv4OQAR
001gK00001Luv7SQAR,GRACE WHITFIELD RESIDENCE,,166 SUNSET RD,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:05.000+0000,ABSORBED,001gK00001Luv4OQAR
001gK00001Luv86QAB,GRACE WHITFIELD RESIDENCE,,166 SUNSET RD,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:05.000+0000,ABSORBED,001gK00001Luv4OQAR
001gK00001Luv52QAB,Grace Whitfield Residence,(02) 6175 3325,166 Sunset Rd,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:04.000+0000,ABSORBED,001gK00001Luv4OQAR
001gK00001Luv5gQAB,Grace Whitfield Residence,(02) 7335 4565,166 Sunset Rd,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:04.000+0000,ABSORBED,001gK00001Luv4OQAR
001gK00001Luv4OQAR,Grace Whitfield Residence,(02) 5015 2085,166 Sunset Rd,Warners Bay,New South Wales,2282,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:05.000+0000,SURVIVOR,
001gK00001Luv6IQAR,HARPER THOMPSON RESIDENCE,,34 MILL LANE,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:13.000+0000,ABSORBED,001gK00001Luv4WQAR
001gK00001Luv6wQAB,HARPER THOMPSON RESIDENCE,,34 MILL LANE,Blacktown,New South Wales,2148,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:13.000+0000,ABSORBED,001gK00001Luv4WQAR
001gK00001Luv7aQAB,HARPER THOMPSON RESIDENCE,,34 MILL LANE,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:13.000+0000,ABSORBED,001gK00001Luv4WQAR
001gK00001Luv8EQAR,HARPER THOMPSON RESIDENCE,,34 MILL LANE,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:14.000+0000,ABSORBED,001gK00001Luv4WQAR
001gK00001Luv6mQAB,Hannah Smith,(02) 4957 2023,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:03.000+0000,ABSORBED,001gK00001Luv4MQAR
001gK00001Luv7QQAR,Hannah Smith,(02) 6117 3263,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:03.000+0000,ABSORBED,001gK00001Luv4MQAR
001gK00001Luv84QAB,Hannah Smith,(02) 7277 4503,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:31:04.000+0000,ABSORBED,001gK00001Luv4MQAR
001gK00001Luv50QAB,Hannah Smith Residence,(02) 6117 3263,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:03.000+0000,ABSORBED,001gK00001Luv4MQAR
001gK00001Luv5eQAB,Hannah Smith Residence,(02) 7277 4503,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:03.000+0000,ABSORBED,001gK00001Luv4MQAR
001gK00001Luv4MQAR,Hannah Smith Residence,(02) 4957 2023,144 Mill Lane,Singleton,New South Wales,2330,Newcastle,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:04.000+0000,SURVIVOR,
001gK00001Luv3sQAB,Harper Thompson Residence,(02) 4087 1093,34 Mill Lane,Baulkham Hills,New South Wales,2153,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:13.000+0000,ABSORBED,001gK00001Luv4WQAR
001gK00001Luv5AQAR,Harper Thompson Residence,(02) 6407 3573,34 Mill Lane,Bankstown,New South Wales,2200,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:31:13.000+0000,ABSORBED,001gK00001Luv4WQAR
